Monthly,Beginning balance,Market change,Dividends,Interest,Deposits,Withdrawals,Net advisory fees,Ending balance
Aug 2025(As of Aug-15-2025),"$683,044.19 ","$4,096.34 ",$80.13 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$687,245.55 "
Jul-25,"$629,033.72 ","$15,061.61 ","$1,319.49 ",$0.00 ,"$37,600.00 ",$0.00 ,$0.00 ,"$683,044.19 "
Jun-25,"$592,391.00 ","$33,317.80 ",$173.46 ,$0.00 ,"$1,827.00 ",$0.00 ,$0.00 ,"$629,033.72 "
May-25,"$538,159.15 ","$49,621.90 ",$115.10 ,$0.00 ,"$4,436.10 ",$0.00 ,$0.00 ,"$592,391.00 "
Apr-25,"$505,383.68 ","$4,207.63 ",$209.92 ,$0.00 ,"$28,290.32 ",$0.00 ,$0.00 ,"$538,159.15 "
Mar-25,"$481,448.32 ","($38,514.28)","$1,179.15 ",$0.00 ,"$61,100.00 ",$0.00 ,$0.00 ,"$505,383.68 "
Feb-25,"$500,286.81 ","($18,985.34)",$100.97 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$481,448.32 "
Jan-25,"$478,803.65 ","$20,691.42 ",$312.37 ,$0.00 ,$450.00 ,$0.00 ,$0.00 ,"$500,286.81 "
Dec-24,"$492,453.05 ","($17,159.74)","$3,182.97 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$478,803.65 "
Nov-24,"$373,667.28 ","$23,321.73 ",$63.05 ,$0.00 ,"$101,473.00 ","$6,087.67 ",$0.00 ,"$492,453.05 "
Oct-24,"$376,791.39 ","($3,751.61)",$627.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$373,667.28 "
Sep-24,"$367,835.10 ","$8,674.85 ",$281.44 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$376,791.39 "
Aug-24,"$363,044.67 ","$4,733.37 ",$57.06 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$367,835.10 "
Jul-24,"$360,004.19 ","$2,240.81 ",$799.67 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$363,044.67 "
Jun-24,"$351,391.69 ","$8,278.50 ",$334.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$360,004.19 "
May-24,"$289,566.93 ","$11,490.72 ",$95.70 ,$0.00 ,"$50,224.19 ",$0.00 ,$0.00 ,"$351,391.69 "
Apr-24,"$293,459.26 ","($8,700.96)",$79.26 ,$0.00 ,"$4,700.00 ",$0.00 ,$0.00 ,"$289,566.93 "
Mar-24,"$281,965.30 ","$10,537.79 ",$956.17 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$293,459.26 "
Feb-24,"$271,825.53 ","$10,054.78 ",$70.84 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$281,965.30 "
Jan-24,"$269,330.91 ","$2,415.53 ",$49.72 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$271,825.53 "
Dec-23,"$257,304.03 ","$10,414.36 ","$1,612.52 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$269,330.91 "
Nov-23,"$238,438.51 ","$18,769.19 ",$82.18 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$257,304.03 "
Oct-23,"$243,740.45 ","($5,743.97)",$412.66 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$238,438.51 "
Sep-23,"$255,164.93 ","($11,927.17)",$134.37 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$243,740.45 "
Aug-23,"$262,639.53 ","($7,545.17)",$53.67 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$255,164.93 "
Jul-23,"$257,655.70 ","$4,679.70 ",$274.76 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$262,639.53 "
Jun-23,"$219,087.94 ","$11,061.56 ",$391.91 ,$0.00 ,"$26,887.50 ",$0.00 ,$0.00 ,"$257,655.70 "
May-23,"$196,598.35 ","$1,033.44 ",$130.16 ,$0.00 ,"$21,289.41 ",$0.00 ,$0.00 ,"$219,087.94 "
Apr-23,"$195,309.90 ","$1,125.01 ",$134.07 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$196,598.35 "
Mar-23,"$186,292.35 ","$6,380.89 ",$322.88 ,$0.00 ,"$2,313.78 ",$0.00 ,$0.00 ,"$195,309.90 "
Feb-23,"$189,755.86 ","($3,526.22)",$62.71 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$186,292.35 "
Jan-23,"$181,684.11 ","$8,008.12 ",$34.26 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$189,755.86 "
Dec-22,"$177,534.80 ","($5,560.25)",$309.56 ,$0.00 ,"$9,400.00 ",$0.00 ,$0.00 ,"$181,684.11 "
Nov-22,"$171,357.36 ","$5,940.92 ",$236.52 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$177,534.80 "
