"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2020-08-17T07:00:00.000Z","36.74","36.81","36.70","36.70","0.3857","0.3283","6,390"
"2020-08-18T07:00:00.000Z","36.79","36.83","36.74","36.77","0.1842","0.1268","2,936"
"2020-08-19T07:00:00.000Z","36.84","36.84","36.68","36.68","-0.2527","-0.3100","1,380"
"2020-08-20T07:00:00.000Z","36.57","36.79","36.57","36.79","0.3084","0.2510","1,308"
"2020-08-21T07:00:00.000Z","36.73","37.03","36.73","36.93","0.3816","0.3243","3,132"
"2020-08-24T07:00:00.000Z","37.09","37.23","37.09","37.23","0.8056","0.7482","1,734"
"2020-08-25T07:00:00.000Z","37.30","37.41","37.23","37.41","0.4827","0.4254","1,914"
"2020-08-26T07:00:00.000Z","37.83","37.83","37.83","37.83","1.14","1.08","460"
"2020-08-27T07:00:00.000Z","37.92","37.92","37.92","37.92","0.2292","0.1718","1,662"
"2020-08-28T07:00:00.000Z","38.04","38.13","37.88","38.13","0.5419","0.4846","4,436"
"2020-08-31T07:00:00.000Z","38.12","38.15","38.11","38.14","0.0370","-0.0204","1,684"
"2020-09-01T07:00:00.000Z","38.26","38.33","38.26","38.33","0.4879","0.4306","608"
"2020-09-02T07:00:00.000Z","38.52","39.01","38.52","39.01","1.78","1.72","1,424"
"2020-09-03T07:00:00.000Z","38.63","38.63","37.60","37.60","-3.60","-3.65","1,170"
"2020-09-04T07:00:00.000Z","37.00","37.34","36.83","37.34","-0.7153","-0.7727","4,510"
"2020-09-08T07:00:00.000Z","36.34","36.34","36.34","36.34","-2.67","-2.72","896"
"2020-09-09T07:00:00.000Z","37.13","37.13","37.13","37.13","2.16","2.10","798"
"2020-09-10T07:00:00.000Z","37.25","37.33","36.46","36.46","-1.81","-1.86","158,444"
"2020-09-11T07:00:00.000Z","36.41","36.41","36.41","36.41","-0.1218","-0.1791","740"
"2020-09-14T07:00:00.000Z","36.91","36.91","36.91","36.91","1.38","1.32","764"
"2020-09-15T07:00:00.000Z","37.43","37.43","37.08","37.08","0.4516","0.3942","1,588"
"2020-09-16T07:00:00.000Z","36.95","36.95","36.95","36.95","-0.3557","-0.4131","942"
"2020-09-17T07:00:00.000Z","36.27","36.53","36.27","36.53","-1.14","-1.19","962"
"2020-09-18T07:00:00.000Z","36.38","36.38","36.12","36.26","-0.7465","-0.8039","2,330"
"2020-09-21T07:00:00.000Z","35.76","35.76","35.24","35.70","-1.54","-1.60","4,192"
"2020-09-22T07:00:00.000Z","35.82","36.15","35.82","36.15","1.28","1.22","2,528"
"2020-09-23T07:00:00.000Z","35.94","35.94","35.24","35.39","-2.09","-2.15","3,446"
"2020-09-24T07:00:00.000Z","35.35","35.50","35.31","35.34","-0.1653","-0.2226","1,264"
"2020-09-25T07:00:00.000Z","35.95","36.00","35.92","35.92","1.64","1.58","1,842"
"2020-09-28T07:00:00.000Z","36.20","36.52","36.20","36.45","1.50","1.44","5,278"
"2020-09-29T07:00:00.000Z","36.43","36.43","36.35","36.35","-0.2845","-0.3418","248"
"2020-09-30T07:00:00.000Z","36.71","36.71","36.71","36.71","0.9876","0.9302","586"
"2020-10-01T07:00:00.000Z","36.85","36.95","36.76","36.83","0.3381","0.2807","3,416"
"2020-10-02T07:00:00.000Z","36.48","36.67","36.48","36.53","-0.8210","-0.8783","1,074"
"2020-10-05T07:00:00.000Z","36.90","37.13","36.90","37.13","1.64","1.58","552"
"2020-10-06T07:00:00.000Z","37.18","37.18","36.66","36.66","-1.27","-1.32","1,368"
"2020-10-07T07:00:00.000Z","37.10","37.29","37.10","37.29","1.73","1.67","2,706"
"2020-10-08T07:00:00.000Z","37.55","37.55","37.55","37.55","0.6827","0.6254","520"
"2020-10-09T07:00:00.000Z","37.99","37.99","37.79","37.88","0.8957","0.8384","4,758"
"2020-10-12T07:00:00.000Z","38.27","38.55","38.27","38.55","1.77","1.71","208"
