"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2020-08-17T07:00:00.000Z","3,380.86","3,387.59","3,379.22","3,381.99","0.2710","0.2134","19,517"
"2020-08-18T07:00:00.000Z","3,387.04","3,395.06","3,370.15","3,389.78","0.2303","0.1727","17,946"
"2020-08-19T07:00:00.000Z","3,392.51","3,399.54","3,369.66","3,374.85","-0.4404","-0.4981","20,181"
"2020-08-20T07:00:00.000Z","3,360.48","3,390.80","3,354.69","3,385.51","0.3159","0.2583","18,321"
"2020-08-21T07:00:00.000Z","3,386.01","3,399.96","3,379.31","3,397.16","0.3441","0.2865","19,945"
"2020-08-24T07:00:00.000Z","3,418.09","3,432.09","3,413.13","3,431.28","1.00","0.9468","22,718"
"2020-08-25T07:00:00.000Z","3,435.95","3,444.21","3,425.84","3,443.62","0.3596","0.3020","20,409"
"2020-08-26T07:00:00.000Z","3,449.97","3,481.07","3,444.15","3,478.73","1.02","0.9620","20,031"
"2020-08-27T07:00:00.000Z","3,485.14","3,501.38","3,468.35","3,484.55","0.1673","0.1097","23,179"
"2020-08-28T07:00:00.000Z","3,494.69","3,509.23","3,484.32","3,508.01","0.6733","0.6156","20,440"
"2020-08-31T07:00:00.000Z","3,509.73","3,514.77","3,493.25","3,500.31","-0.2195","-0.2771","25,430"
"2020-09-01T07:00:00.000Z","3,507.44","3,528.03","3,494.60","3,526.65","0.7525","0.6949","22,453"
"2020-09-02T07:00:00.000Z","3,543.76","3,588.11","3,535.23","3,580.84","1.54","1.48","25,815"
"2020-09-03T07:00:00.000Z","3,564.74","3,564.85","3,427.41","3,455.06","-3.51","-3.57","31,936"
"2020-09-04T07:00:00.000Z","3,453.60","3,479.15","3,349.63","3,426.96","-0.8133","-0.8709","30,449"
"2020-09-08T07:00:00.000Z","3,371.88","3,379.97","3,329.27","3,331.84","-2.78","-2.83","30,661"
"2020-09-09T07:00:00.000Z","3,369.82","3,424.77","3,366.84","3,398.96","2.01","1.96","25,085"
"2020-09-10T07:00:00.000Z","3,412.56","3,425.55","3,329.25","3,339.19","-1.76","-1.82","25,748"
"2020-09-11T07:00:00.000Z","3,352.70","3,368.95","3,310.47","3,340.97","0.0533","-0.0043","23,523"
"2020-09-14T07:00:00.000Z","3,363.56","3,402.93","3,363.56","3,383.54","1.27","1.22","23,632"
"2020-09-15T07:00:00.000Z","3,407.73","3,419.48","3,389.25","3,401.20","0.5219","0.4643","24,820"
"2020-09-16T07:00:00.000Z","3,411.23","3,428.92","3,384.45","3,385.49","-0.4619","-0.5195","28,437"
"2020-09-17T07:00:00.000Z","3,346.86","3,375.17","3,328.82","3,357.01","-0.8412","-0.8988","27,409"
"2020-09-18T07:00:00.000Z","3,357.38","3,362.27","3,292.40","3,319.47","-1.12","-1.18","40,877"
"2020-09-21T07:00:00.000Z","3,285.57","3,285.57","3,229.10","3,281.06","-1.16","-1.21","29,734"
"2020-09-22T07:00:00.000Z","3,295.75","3,320.31","3,270.95","3,315.57","1.05","0.9942","23,648"
"2020-09-23T07:00:00.000Z","3,320.11","3,323.35","3,232.57","3,236.92","-2.37","-2.43","24,621"
"2020-09-24T07:00:00.000Z","3,226.14","3,278.70","3,209.45","3,246.59","0.2987","0.2411","23,869"
"2020-09-25T07:00:00.000Z","3,236.66","3,306.88","3,228.44","3,298.46","1.60","1.54","21,803"
"2020-09-28T07:00:00.000Z","3,333.90","3,360.74","3,332.91","3,351.60","1.61","1.55","22,210"
"2020-09-29T07:00:00.000Z","3,350.92","3,357.92","3,327.54","3,335.47","-0.4813","-0.5389","19,450"
"2020-09-30T07:00:00.000Z","3,341.21","3,393.56","3,340.47","3,363.00","0.8254","0.7678","26,167"
"2020-10-01T07:00:00.000Z","3,385.87","3,397.18","3,361.39","3,380.80","0.5293","0.4717","23,559"
"2020-10-02T07:00:00.000Z","3,338.94","3,369.10","3,323.69","3,348.44","-0.9572","-1.01","23,501"
"2020-10-05T07:00:00.000Z","3,367.27","3,409.57","3,367.27","3,408.63","1.80","1.74","20,401"
"2020-10-06T07:00:00.000Z","3,408.74","3,431.56","3,354.54","3,360.95","-1.40","-1.46","25,500"
"2020-10-07T07:00:00.000Z","3,384.56","3,426.26","3,384.56","3,419.45","1.74","1.68","20,743"
"2020-10-08T07:00:00.000Z","3,434.28","3,447.28","3,428.15","3,446.83","0.8007","0.7431","20,889"
"2020-10-09T07:00:00.000Z","3,459.67","3,482.34","3,458.07","3,477.13","0.8791","0.8215","22,280"
"2020-10-12T07:00:00.000Z","3,500.02","3,549.85","3,499.61","3,534.22","1.64","1.58","22,438"
"2020-10-13T07:00:00.000Z","3,534.01","3,534.01","3,500.86","3,511.93","-0.6307","-0.6883","23,579"
