"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2020-08-17T07:00:00.000Z","337.94","339.72","335.22","339.48","0.7838","0.5083","239,583,580"
"2020-08-24T07:00:00.000Z","342.12","350.72","339.45","350.58","3.27","2.99","244,465,362"
"2020-08-31T07:00:00.000Z","350.35","358.75","334.87","342.57","-2.28","-2.56","477,805,953"
"2020-09-07T07:00:00.000Z","336.71","342.64","331.00","334.06","-2.48","-2.76","381,177,354"
"2020-09-14T07:00:00.000Z","337.49","343.06","327.97","330.65","-1.02","-1.30","398,139,085"
"2020-09-21T07:00:00.000Z","325.70","331.20","319.80","328.73","-0.5807","-0.8561","403,925,934"
"2020-09-28T07:00:00.000Z","333.22","338.74","331.19","333.84","1.55","1.28","398,327,201"
"2020-10-05T07:00:00.000Z","336.06","347.35","334.38","346.85","3.90","3.62","297,612,670"
"2020-10-12T07:00:00.000Z","349.59","354.02","343.13","347.29","0.1269","-0.1486","361,462,322"
"2020-10-19T07:00:00.000Z","348.65","349.33","340.65","345.78","-0.4348","-0.7103","296,595,276"
"2020-10-26T07:00:00.000Z","342.13","342.98","322.60","326.54","-5.56","-5.84","495,606,791"
"2020-11-02T08:00:00.000Z","330.20","352.19","327.24","350.16","7.23","6.96","463,334,913"
"2020-11-09T08:00:00.000Z","363.97","364.38","350.51","358.10","2.27","1.99","447,583,265"
"2020-11-16T08:00:00.000Z","360.98","362.78","354.15","355.33","-0.7735","-1.05","341,596,283"
"2020-11-23T08:00:00.000Z","357.28","364.18","354.87","363.67","2.35","2.07","199,491,447"
"2020-11-30T08:00:00.000Z","362.83","369.85","359.17","369.85","1.70","1.42","317,936,535"
"2020-12-07T08:00:00.000Z","369.02","371.05","363.26","366.30","-0.9598","-1.24","280,935,407"
"2020-12-14T08:00:00.000Z","368.64","372.46","364.47","369.18","0.7862","0.5108","392,369,590"
"2020-12-21T08:00:00.000Z","364.97","378.46","362.03","369.00","-0.0488","-0.3242","217,434,462"
"2020-12-28T08:00:00.000Z","371.74","374.66","370.83","373.88","1.32","1.05","220,656,814"
"2021-01-04T08:00:00.000Z","375.31","381.49","364.82","381.26","1.97","1.70","425,078,734"
"2021-01-11T08:00:00.000Z","377.85","381.13","373.70","375.70","-1.46","-1.73","306,177,129"
"2021-01-18T08:00:00.000Z","378.34","384.95","376.75","382.88","1.91","1.64","213,157,974"
"2021-01-25T08:00:00.000Z","383.67","385.85","368.27","370.07","-3.35","-3.62","457,381,555"
"2021-02-01T08:00:00.000Z","373.72","388.47","370.38","387.71","4.77","4.49","288,507,677"
"2021-02-08T08:00:00.000Z","389.27","392.90","387.50","392.64","1.27","0.9961","226,577,172"
"2021-02-15T08:00:00.000Z","393.96","394.17","387.74","390.03","-0.6647","-0.9402","246,732,791"
"2021-02-22T08:00:00.000Z","387.06","392.23","378.23","380.36","-2.48","-2.75","546,503,781"
"2021-03-01T08:00:00.000Z","385.59","390.92","371.88","383.63","0.8597","0.5843","640,356,985"
"2021-03-08T08:00:00.000Z","384.66","395.65","381.42","394.06","2.72","2.44","497,580,816"
"2021-03-15T07:00:00.000Z","394.33","398.12","387.15","389.48","-1.16","-1.44","474,247,664"
"2021-03-22T07:00:00.000Z","390.03","396.41","383.90","395.98","1.67","1.39","492,591,578"
"2021-03-29T07:00:00.000Z","394.40","400.67","392.81","400.61","1.17","0.8938","396,786,965"
"2021-04-05T07:00:00.000Z","403.46","411.67","403.38","411.49","2.72","2.44","328,509,670"
"2021-04-12T07:00:00.000Z","410.85","417.91","410.20","417.26","1.40","1.13","317,181,204"
"2021-04-19T07:00:00.000Z","416.26","418.25","410.59","416.74","-0.1246","-0.4001","398,001,331"
"2021-04-26T07:00:00.000Z","417.44","420.72","416.30","417.30","0.1344","-0.1411","318,794,761"
"2021-05-03T07:00:00.000Z","419.43","422.81","411.67","422.12","1.16","0.8796","351,735,274"
"2021-05-10T07:00:00.000Z","422.50","422.74","404.00","416.58","-1.31","-1.59","522,147,059"
"2021-05-17T07:00:00.000Z","415.39","418.20","405.33","414.94","-0.3937","-0.6691","386,007,391"
"2021-05-24T07:00:00.000Z","417.34","421.25","417.08","420.04","1.23","0.9536","267,144,557"
"2021-05-31T07:00:00.000Z","422.57","422.92","416.28","422.60","0.6095","0.3340","217,391,238"
"2021-06-07T07:00:00.000Z","422.59","424.63","420.32","424.31","0.4046","0.1292","243,716,628"
"2021-06-14T07:00:00.000Z","424.43","425.46","414.70","414.92","-2.21","-2.49","383,879,029"
